"plot"	"ID"	"sp"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K.conc"	"Mg"	"Mn"	"Na"	"P.conc"	"Zn"	"C"	"N.conc"	"Delta13C"	"Delta15N"	"Cnratio"	"Cpratio"	"Npratio"	"N"	"P"	"K"	"block"	"repl"	"micro"	"tmt"
7	"41758"	"TET2PA"	0.064915033	0.04955441	6.098527797	0.010733175	0.057894259	8.084122312	2.542316119	0.422156431	1.341139288	1.256944211	0.010425986	43.40506339	1.599172488	-34.53580214	0.674632819	27.14220243	345.3221154	12.72270061	0	1	1	2	1	0	"PK"
7	"8005"	"HEISCO"	0.044506244	0.065744497	10.85542167	0.009819833	0.065915214	10.90757425	4.895804876	0.364375348	0.201328956	1.571723653	0.018431605	48.23731192	2.410475582	-35.04150294	-0.664628839	20.01153311	306.9070814	15.33651019	0	1	1	2	1	0	"PK"
7	"15162"	"ALSEBL"	0.150867193	0.056163966	10.23082518	0.014833446	0.12526081	27.05559467	4.607377615	0.082601878	0.934884231	3.487199498	0.029292235	42.59265717	3.377314048	-33.54008183	-0.173806911	12.61139964	122.1400072	9.684889119	0	1	1	2	1	0	"PK"
8	"8813"	"TET2PA"	0.065544364	0.068228164	7.515566811	0.006374258	0.065479597	7.4137985	2.165150498	0.262415686	1.683158063	0.731308174	0.013280731	43.74206591	1.492281284	-36.66238415	-0.165740549	29.31221237	598.1345138	20.40564207	0	0	0	0	0	1	"MICRO"
8	"13904"	"HEISCO"	0.049826838	0.048371681	10.70873425	0.005414638	0.063774933	8.456410981	4.639380131	0.064030902	0.144991503	0.817687039	0.017976951	49.29903277	2.234808643	-33.72866635	0.376969408	22.05962149	602.9083305	27.33085564	0	0	0	0	0	1	"MICRO"
8	"MG045"	"ALSEBL"	0.078319091	0.078954117	10.59607789	0.031016275	0.118595376	24.9518162	5.661951875	0.083648492	0.942285887	1.314597292	0.028652413	43.15125246	3.565037466	-35.74701524	-0.679879161	12.10401093	328.2469294	27.11885599	0	0	0	0	0	1	"MICRO"
9	"37674"	"TET2PA"	0.018749466	0.025703264	3.578989935	0.01000159	0.032864902	15.07307024	2.190012944	0.317852652	0.112599321	1.469888904	0.017909851	44.20922895	1.677181509	-33.89595089	0.150048057	26.35923943	300.7657847	11.41026036	1	0	1	1	2	0	"NK"
9	"9808"	"HEISCO"	0.847688696	0.043415392	7.914878682	0.005516877	0.871520396	11.02323471	3.575402394	0.215222122	0.118848154	0.951972832	0.018652138	43.74931953	3.725342045	-35.54613115	-1.639752765	11.74370541	459.5647906	39.13286093	1	0	1	1	2	0	"NK"
9	"MG016"	"ALSEBL"	0.149553297	0.081118908	7.546639244	0.01446581	0.144733838	35.92606575	2.950291729	0.117013047	0.755774312	1.247959419	0.017555718	42.98197835	4.051288029	-33.59068263	0.492002623	10.60946001	344.4180773	32.46329943	1	0	1	1	2	0	"NK"
10	"MG009"	"ALSEBL"	0.147863184	0.063083678	7.637494536	0.080966028	0.135254291	28.38896554	3.168241835	0.262694151	0.311954188	1.02257704	0.018735967	44.09735904	3.860457035	-36.12402425	-1.867254251	11.42283378	431.2375234	37.75223658	1	0	1	2	1	0	"NK"
10	"6292"	"HEISCO"	0.054283474	0.027883815	8.761022418	0.016509292	0.053689173	13.04704449	3.486344688	0.124685551	0.151180805	0.83281701	0.013802841	48.23308715	2.127957494	-34.95045774	-1.231428572	22.66637717	579.1558842	25.55132123	1	0	1	2	1	0	"NK"
10	"41559"	"TET2PA"	0.117914346	0.058341001	4.704917535	0.012724609	0.059811453	6.668364485	2.755668048	0.481121469	1.328150088	0.650652655	0.01138284	41.52843913	1.438524623	-34.09414942	0.34894097	28.86877185	638.258198	22.10894877	1	0	1	2	1	0	"NK"
